BichonProvince,比奇省
Palace,皇宫
MeatStore,肉类商店
ReagentStore,试剂店
MedicineRoom,医药室
Library,图书馆
BeautySaloon,美容院
Inn,客栈
2FofInn,旅店2楼
WeaponStore,武器店
AccessoryStore,配饰店
DrapersStore,皮具店
Tavern,酒馆
Kitchen,厨房
PrivateHouse,私人住宅
PrivateHouse,私人住宅
PrivateHouse,私人住宅
PrivateHouse,私人住宅
Academy,学院
Academy,学院
Academy,学院
ContestGround,比赛场地
B1ContestGround,B1竞赛场地
Barracks,兵营
Prison,监狱
PrivateHouse,私人住宅
PrivateHouse,私人住宅
BorderRestaurant,边境餐厅
Library,图书馆
B1Residence,B1住宅
GroceryStore,杂货店
Warehouse,仓库
ArchersHouse,弓箭手之家
NaturalCave,自然洞窟
NaturalCave,自然洞窟
HiddenRoom,隐藏的房间
ConnectionPath,连接路径
ConnectionPath,连接路径
OmaCave_1F,大马山洞_1层
OmaCave_2F,大马山洞_2层
HiddenRoom,隐藏的房间
KingsTomb,国王墓
OmaCave_3F,大马山洞_3层
AncientNaturalCave,古老的自然洞窟
AncientNaturalCave,古老的自然洞穴
AncientNaturalCave,古老的自然洞穴
DeadMineEntrance,死亡矿井入口
B1ofMine,矿井B1
B1ofMine,矿区B1区
EastofDeadMine,死亡矿井东侧
B1ofMine,矿井B1
B2ofDeadMine,死矿区的B2
OverPass,过道
1FofDeadMine,亡灵矿区的1层
OverPass,过道
OreStoragePlace,储矿场
OverPass,过道
SouthofDeadMine,亡灵矿区南部
GhoulCave,食尸鬼洞
ConnectionPath,连接路径
ConnectionPath,连接路径
ConnectionPath,连接路径
ConnectionPath,连接路径
WoomyonWoods(S),沃米恩森林(S)
InsectCave_1F,昆虫洞_1层
InsectCave_2F,昆虫洞_2层
InsectCave_3F,昆虫洞_3层
InsectCave_4F,昆虫洞_4层
WoomaTempleEntrance,沃玛神庙入口处
WoomaTemple_1F,沃玛神庙_1层
WoomaTemple_2F,沃玛神庙_2层
WoomaTemple,古寺
AncientTempleEntrance,古代神庙入口
AncientTemple_1F,古代神庙_1层
AncientTemple_2F,古代神庙_2层
AncientTemple,古老的寺庙
CastleGi-Ryoong,幽冥帝都
InnerCastle,内部城堡
WeaponStore,武器库
PotionStore,药水店
AccessoryStore,配饰店
DraperyStore,窗帘店
Prison,监狱
ItemDepository,物品库
BlackDragonDungeon,黑龙地宫
BlackSnakePalace,黑蛇宫
BlackDragonDungeon_1F,黑龙地宫_1层
BlackDragonDungeon_2F,黑龙地宫_2层
PurgatoryHall,炼狱殿堂
WoomaPalace,沃玛宫
HwanMaJin,桓马津
NobleHogPalace,贵族猪宫
SoleSpiritHall,孤魂殿
HwanMaJin,桓马津
ZumaPalace,祖玛宫
PrisonHall,监狱厅
DarkDevilPalace,黑暗魔鬼宫
WhiteDragonPassage,白龙传
WhiteDragonPassage,白龙通道
WhiteDragonHillSide,白龙山庄
WhiteDragonPassage,白龙通道
WhiteDragonPassage,白龙通道
SeokchoValley,西草谷
TrollMine_1F,巨魔矿场_1层
TrollMine_2F,巨魔地雷_2层
TrollMine_3F,巨魔地雷_3层
TrollMine_4F,巨魔地雷_4层
WoomyonWoods(N),沃玛森林(N)
Armory,军械库
Rev.Tao_Office,牧师办公室
Laundry,洗衣房
Library,图书馆
Item_Lab,物品实验室
Drug_Store,药品店
Warehouse,仓库
MineralMine_1F,矿场_1层
MineralMine_2F,矿物矿_2层
MineralMine_3F,矿物矿_3层
MineralMine_4F,矿物矿_4层
Treepath,树丛
RedValley_1F,红河谷_1层
RedValley_1F,红色山谷_1层
RedValley_1F,红色山谷_1层
RedValley_2F,红色山谷_2层
RedValley_3F,红色山谷_3层
RedValley_3F,红色山谷_3层
RedValley_4F,红色山谷_4层
RedValley_5F,红色山谷_5层
RedValley_5F,红色山谷_5层
Great_TaoTomb,伟大的淘金者
RedMoonRoom,红月厅
RedValley_5F,红色山谷_5层
RedValley_5F,红色山谷_5层
Lunar_1F,月球_1层
Lunar_2F,月球_2层
Lunar_3F,Lunar_3层
Lunar_4F,月球_4层
LunarRoom,月球室
DarkForest,黑暗森林
DarkForest,黑暗森林
DarkForest,黑暗森林
TownHall,市政厅
SerpentValley,蛇谷
S_ValleyTavern,蛇谷酒馆
ReagentStore,试剂店
Blacksmith,铁匠铺
PrivateHouse,私人住宅
S_ValleyDeadMine,蛇谷亡灵矿场
S_ValleyDeadMine,S_毒蛇山谷矿区
S_ValleyDeadMine,S_山谷死亡矿区
ViperMaze,蝰蛇迷宫
ViperMaze,蝰蛇迷宫
ViperMaze,蝰蛇迷宫
ViperMaze,蝰蛇迷宫
ViperMaze,蝰蛇迷宫
ViperMaze,蝰蛇迷宫
ViperPath,蝰蛇之路
ViperPath,蝰蛇之路
ViperPath,蝰蛇之路
ViperPath,蝰蛇之路
ViperMaze,蝰蛇迷宫
ViperCave,毒蛇洞
ViperCave,毒蛇洞
YimoogiNest,伊莫吉巢
ConnectionPath,连接路径
ConnectionPath,蛇头
ConnectionPath,联网路径
ConnectionPath,联网路径
ConnectionPath,连接路径
MysteryCave,神秘洞窟
MongchonProvince,蒙村省
PrivateHouse,私家院
PrivateHouse,私人住宅
Inn,客栈
2FofInn,2楼客栈
Tavern,酒馆
DraperyStore,窗帘店
GroceryStore,杂货店
Blacksmith,铁匠铺
Mill,磨坊
S_1FofDungeon,地牢之家（S_1层o层Dungeon
W_1FofDungeon,地牢西区
N_1FofDungeon,地牢的N-1层
W_2FofDungeon,W_2层o层Dungeon
N_2FofDungeon,地牢的N_2层
LifeDeathCoffin,生命之死--科芬
StoneLanternRoom,石灯笼房
AmethystRoom,紫晶房
StoneCarvedStream,石刻流
StrangeRocksRoom,奇怪的岩石室
StrangeRocksPath,奇怪的岩石之路
LostCave(MainCave),失落的洞窟(主洞窟)
LostMiddleCave,失落的中间洞窟
SouthernLostCave,南部失落的洞穴
WesternLostCave,西部失落的洞穴
NorthernLostCave,北部失落的洞穴
EasternLostCave,东部失落的洞穴
FatallyPoisonousCave,致命的毒物洞
B1_AngledStoneTomb,B1_倾斜的石墓
B2_AngledStoneTomb,倾斜石墓B2_倾斜石墓
B3_AngledStoneTomb,B3_倾斜石墓
B4_AngledStoneTomb,B4_斜面石墓
B5_AngledStoneTomb,B5_斜面石墓
B6_AngledStoneTomb,B6_棱角分明的石墓
B7_AngledStoneTomb,B7_有棱角的石墓
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
TacticalMaze,战术迷宫
AngledStoneTombEntrance,倾斜的石墓入口
AncientSTombEntrance,古墓入口
AncientSTomb_1F,古墓_1层
AncientSTomb_2F,古代STomb_2层
AncientSTomb_3F,古墓_3层
ConnectionCave,连接洞
ConnectionCave,连接洞
ConnectionCave,连接洞
SabukSecretGate,萨布克秘密门
InnerWall,内围墙
Blacksmith,铁匠
Warehouse,仓库
ReagentStore,试剂店
ReagentStore,试剂店
ReagentStore,试剂店
Prison,监狱
Prison,监狱
LobbyofZumaTemple,祖玛神庙的大厅
ZumaTemple_1F,祖玛神庙_1层
ZumaTemple_2F,祖玛寺庙_2层
ZumaTemple_3F,祖玛寺庙_3层
ZumaTemple_4F,祖玛寺庙_4层
ZumaTemple_5F,祖玛寺庙_层
ZumaMaze,ZumaMaze
ZumaMaze,祖马迷宫
ZumaMaze,祖马迷宫
ZumaMaze,祖马迷宫
ZumaMaze,祖马迷宫
ZumaMaze,祖马迷宫
ZumaMaze,祖马迷宫
ZumaMaze,祖马迷宫
ZumaMaze,祖马迷宫
ZumaTempleLobby_7F,祖玛神庙大厅_7层
ZumaTemple_7F,祖马寺庙_7层
