(HP)DrugLarge,(HP)药物大量
(HP)DrugMedium,(HP)药物中量
(HP)DrugSmall,(HP)药物小量
(HP)DrugXL,(HP)药物XL
(MP)DrugLarge,(MP)药物大量
(MP)DrugMedium,(MP)药物中量
(MP)DrugSmall,(MP)药物小量
(MP)DrugXL,(MP)药物XL
3rdEyeBracelet,三眼手镯
8TrigramWheel,八卦轮
AccuracyGem,准确度宝石
AccuracyOrb,精度球
AdamantineBelt,金刚腰带
AgilityGem,敏捷宝石
AgilityOrb,敏捷球
Amulet,护身符
AncientArmour(F),古代盔甲(女)
AncientArmour(M),古代盔甲(男)
AntidoteMarble,解毒玛瑙
ArmourBook(ACC),铠甲书(ACC)
ArmourBook(DC),铠甲书(DC)
ArmourBook(MC),铠甲书(MC)
ArmourBook(SC),铠甲书(SC)
ArmourCastTool,铸甲工具
AwakeningSoul0,觉醒的灵魂0
AwakeningSoul1,觉醒的灵魂1
AwakeningSoul2,觉醒的灵魂2
AwakeningSoul3,觉醒的灵魂3
BabyPigEgg,小猪蛋
BackStep,后撤步
BaekTaGlove,白塔手套
BeefDumpling,牛肉饺子
BeltOfDarkness,黑暗腰带
BeltOfStrength1,力量腰带1
BeltOfStrength2,力量腰带2
BeltOfStrength3,力量腰带3
BeltOfStrength4,力量腰带4
BeltOfStrength5,力量腰带5
BengalTiger,孟加拉虎
BichonToken,比熊令牌
BlackBoots,黑靴
BlackNecklace,黑色项链
BlackThread,黑线
BlackTigerArmour(F),黑虎盔甲(女)
BlackTigerArmour(M),黑虎盔甲(男)
Black铁手镯,黑铁手镯
BladeAvalanche,刀锋雪崩
BladesofVelocity,速度的刀刃
BlessedArmour,受祝福的盔甲
Blizzard,暴风雪
BlueDarkArmour(F),蓝色深色护甲(女)
BlueDarkArmour(M),蓝色深色护甲(男)
BlueFishingRod,蓝色鱼竿
BlueFoxBracelet,蓝狐狸手链
BlueRing,蓝戒指
BodyGlyph0,身心合一0
BodyGlyph1,身心合一1
BodyGlyph2,身心合一2
BodyGlyph3,身心合一3
BokMaWheel,福马轮
Bone,骨头
BoneBroth,骨头汤
BoneDecapitator,骨质疏松器
BoneDumpling,骨头饺子
BoneHammer,骨锤
BoneHood,帽子
BoneRobe(F),骨骼之翼(女)
BoneRobe(M),骨骼之翼(男)
BoneRobe(男),骨骼之翼(男)
BoneRobe(女),骨骼之翼(女)
BookofMana,法力之书
BookofSpirit,精神之书
BootsOfDarkness,黑暗之靴
BootsOfStrength1,力量之靴1
BootsOfStrength2,力量之靴2
BootsOfStrength3,力量之靴3
BootsOfStrength4,力量之靴4
BootsOfStrength5,力量之靴5
BorderVillage,边境村
BraceletOfAgony,天体之镯
BracerOfMagic,法力手镯
BraveryGem,勇敢宝石
BraveryGlyph0,勇者之心0
BraveryGlyph1,勇者之心1
BraveryGlyph2,勇者之心2
BraveryGlyph3,勇者之心3
BraveryOrb,勇敢球
BronzeAxe,青铜斧
BronzeBelt,青铜腰带
BronzeChestnut,青铜板栗
BronzeGlove,青铜手套
BronzeHelmet,青铜头盔
BronzeSword,青铜剑
BrownChestnut,棕色栗子
BugBracelet,虫子手镯
BugEye,虫眼
BugLeg,虫腿
BugNecklace,虫子颈链
BugRing,虫子戒指
BugShell,虫壳
Candle,蜡烛
CannibalFruit,食人果
CannibalLeaf,食人叶
CastleGi-Ryoong,吉良城堡
CatTongue,猫头鹰
ChainBelt,链带
CheongboBelt(ARCH),清波腰带(ARCH)
CheongboBelt(ASSA),清波腰带(ASSA)
CheongboBelt(TAO),清波腰带(TAO)
CheongboBelt(WAR),清波腰带(WAR)
CheongboBelt(WIZ),清波腰带(WIZ)
CheongboBoots(ARCH),清波靴(ARCH)
CheongboBoots(ASSA),清波靴(ASSA)
CheongboBoots(TAO),清波靴(TAO)
CheongboBoots(WAR),清波靴(WAR)
CheongboBoots(WIZ),清波靴(WIZ)
Cherry,樱桃色
Chicken,鸡肉
ChickenBroth,鸡肉汤
ChickenDumpling,鸡肉饺子
CompoundBow,复合弓
Concentration,专注力
CopperRing,铜戒指
CounterAttack,反击
CraneArmour(F),仙鹤盔甲(女)
CraneArmour(M),仙鹤盔甲(男)
CresentSlash,裂缝
CrippleShot,残废射击
CrossHalfMoon,十字半月
CrystalArmour(F),水晶盔甲(女)
CrystalArmour(M),水晶盔甲(男)
Curse,诅咒
Dagger,匕首
DarkBody,黑暗之躯
DeathGauntlet,死亡护盾
DeerBlood,鹿血
DeerHorn,鹿角
DelayedExplosion,延迟爆炸
DisillusionGem,幻觉宝石
DisillusionOrb,幻觉球
DoubleShot,双响炮
DoubleSlash,双击
DragonBoots,龙靴
DragonBracelet,龙形手镯
DragonRobe(F),龙袍(女)
DragonRobe(M),龙袍(男)
DragonScale,龙鳞
DualTitan护身符,双天王护身符
Dumpling,饺子
DungeonEscape,地牢逃脱
DurabilityGem,耐用性宝石
DurabilityOrb,红色毒药
EbonyBow,乌木弓
EbonyBracelet,黑檀木手镯
