SpiritBlade,灵魂之刃
SpiritBlade1,灵魂之刃1
SpiritBlade2,灵魂之刃2
SpiritBlade3,灵魂之刃3
SpiritBlade4,灵魂之刃4
SpiritBlade5,灵魂之刃5
SpiritHelmet,精神头盔
SpiritNecklace,精神项链
SpiritBracelet,精神手镯
SpiritRing,精神戒指
RecallHelmet,召回头盔
RecallNecklace,纪念品项链
RecallBracelet,纪念品
RecallRing,戒指
RedOrchidNecklace,红兰花项链
RedOrchidBracelet,红兰花手镯
RedOrchidRing,红兰花戒指
RedFlowerNecklace,红花项链
RedFlowerBracelet,红花手镯
RedFlowerRing,红花戒指
SmashPendulum,大摆锤项链
SmashWheel,碎轮链
SmashRing,碎轮戒指
HwanDevilNecklace,恶魔项链
HwanDevilBracelet,恶魔手镯
HwanDevilRing,恶魔戒指
PurityNecklace,纯洁项链
PurityBracelet,纯洁手镯
PurityRing,纯洁之环
FiveStringNecklace,五线谱项链
FiveStringBracelet,五线谱手镯
FiveStringRing,五线谱戒指
MundaneGlove,俗世手套
MundaneRing,俗世戒指
NokChiWheel,戒指待查
NokChiRing,诺基亚戒指
TaoProtectBracelet,道护手镯
TaoProtectRing,道护环
MirSword,米尔剑
MirSword1,米尔剑1
MirSword2,米尔剑2
MirSword3,米尔剑3
MirSword4,米尔剑4
MirSword5,米尔剑5
MirArmour(M),铠甲(男)
MirArmour(M)1,幻影战甲(男)1
MirArmour(M)2,幻影战甲(男)2
MirArmour(M)3,幻影战甲(男)3
MirArmour(M)4,幻影战甲(男)4
MirArmour(M)5,幻影战甲(男)5
MirArmour(F),盔甲(女)
MirArmour(F)1,幻影战甲(女)1
MirArmour(F)2,幻影战甲(女)2
MirArmour(F)3,幻影战甲(女)3
MirArmour(F)4,幻影战甲(女)4
MirArmour(F)5,幻影战甲(女)5
MirHelmet,米尔头盔
MirHelmet1,米尔头盔1
MirHelmet2,米尔头盔2
MirHelmet3,米尔头盔3
MirHelmet4,米尔头盔4
MirHelmet5,米尔头盔5
MirNecklace,米尔项链
MirNecklace1,米尔项链1
MirNecklace2,米尔项链2
MirNecklace3,米尔项链3
MirNecklace4,米尔项链4
MirNecklace5,米尔项链5
MirWheel,米尔轮
MirWheel1,米尔轮1
MirWheel2,米尔轮2
MirWheel3,米尔轮3
MirWheel4,米尔轮4
MirWheel5,米尔轮5
MirRing,米尔戒指
MirRing1,米尔戒指1
MirRing2,米尔戒指2
MirRing3,米尔戒指3
MirRing4,米尔戒指4
MirRing5,米尔戒指5
MirBelt,腰带
MirBoots,米尔靴
BoneDecapitator,骨质疏松器
BoneRobe(M),骨骼之翼(男)
BoneRobe(F),骨骼之翼(女)
BoneHood,帽子
BugNecklace,虫子颈链
BugBracelet,虫子手镯
BugRing,虫子戒指
WhiteGoldBelt,白金腰带
WhiteGoldShoes,白金鞋
WhiteGoldNecklace,白金项链
WhiteGoldBracelet,白金手镯
WhiteGoldRing,白金戒指
WhiteGoldBelt(H),白金腰带(H)
WhiteGoldShoes(H),白金鞋(H)
WhiteGoldNecklace(H),白金项链(H)
WhiteGoldBracelet(H),白金手镯(H)
WhiteGoldRing(H),白金戒指(H)
RedJadeBelt,红玉腰带
RedJadeShoes,红玉鞋
RedJadeNecklace,红玉项链
RedJadeBracelet,红玉手镯
RedJadeRing,红玉戒指
RedJadeBelt(H),红玉腰带(H)
RedJadeShoes(H),红色玉石鞋(H)
RedJadeNecklace(H),红色玉石项链(H)
RedJadeBracelet(H),红色玉石手镯(H)
RedJadeRing(H),红玉戒指(H)
NephriteBelt,翡翠腰带
NephriteShoes,翡翠鞋
NephriteNecklace,翡翠链
NephriteBracelet,翡翠手镯
NephriteRing,翡翠戒指
NephriteBelt(H),翡翠腰带(H)
NephriteShoes(H),翡翠鞋(H)
NephriteNecklace(H),翡翠项链(H)
NephriteBracelet(H),翡翠手镯(H)
NephriteRing(H),翡翠戒指(H)
MysteryHelmet,神秘头盔
MysteryWheel,神秘的轮子
MysteryCircle,神秘戒指
MysteryWater,神秘之水
BootsOfStrength1,力量之靴1
BeltOfStrength1,力量腰带1
BootsOfStrength2,力量之靴2
BeltOfStrength2,力量腰带2
BootsOfStrength3,力量之靴3
BeltOfStrength3,力量腰带3
BootsOfStrength4,力量之靴4
BeltOfStrength4,力量腰带4
BootsOfStrength5,力量之靴5
BeltOfStrength5,力量腰带5
TarragonHelmet,蒿草头盔
TarragonBoots,塔拉贡靴
TarragonBracelet,塔拉贡手镯
TarragonRing,塔拉贡戒指
TarragonBelt,沙龙腰带
TarragonNecklace,塔拉贡项链
TarragonArmour(M),龙蒿甲(男)
TarragonArmour(M)1,龙蒿甲(男)1
TarragonArmour(M)2,龙蒿甲(男)2
TarragonArmour(M)3,龙蒿装(男)3
TarragonArmour(M)4,龙蒿甲(男)4
TarragonArmour(M)5,龙蒿甲(男)5
TarragonArmour(F),龙蒿甲(女)
TarragonArmour(F)1,龙蒿甲(女)1
TarragonArmour(F)2,龙蒿甲(女)2
TarragonArmour(F)3,龙蒿兵器(女)3
TarragonArmour(F)4,龙蒿兵器(女)4
TarragonArmour(F)5,龙舌兰护甲(女)5
RaidersArmour(M),突击者护甲(男)
RaidersArmour(M)1,突击队员装甲(男)1
RaidersArmour(M)2,突击队员装甲(男)2
RaidersArmour(M)3,突击者护甲(男)3
RaidersArmour(M)4,突击队员装甲(男)4
RaidersArmour(M)5,突击队员装甲(男)5
RaidersArmour(F),突击队员装甲(女)
RaidersArmour(F)1,突击队员装甲(女)1
RaidersArmour(F)2,突击队员装甲(女)2
RaidersArmour(F)3,突击队员装甲(女)3
RaidersArmour(F)4,突击队员装甲(女)4
RaidersArmour(F)5,突击者护甲(女)5
RaidersHelmet,突击者头盔
RaidersHelmet1,突击者头盔1
RaidersHelmet2,突击者头盔2
RaidersHelmet3,突击者头盔3
RaidersHelmet4,袭击者头盔4
RaidersHelmet5,突击者头盔5
RaidersGlove,突击者手套
RaidersGlove1,突击者手套1
RaidersGlove2,突击者手套2
RaidersGlove3,突击者手套3
RaidersGlove4,突击者手套4
RaidersGlove5,突击者手套5
RaidersBoots,突击者之靴
RaidersBoots1,突击队靴1
RaidersBoots2,突击队靴2
RaidersBoots3,突击队靴3
RaidersBoots4,突击队靴4
RaidersBoots5,突击者之靴5
NecklaceOfAgony,神奇的项链
NecklaceOfAgony1,阿格尼项链1
NecklaceOfAgony2,阿甘尼项链2
NecklaceOfAgony3,阿甘尼项链3
NecklaceOfAgony4,阿甘尼的项链4
NecklaceOfAgony5,阿甘尼项链5
RingOfAgony,天使之戒
RingOfAgony1,天使之戒1
RingOfAgony2,天使之戒2
RingOfAgony3,天使之戒3
RingOfAgony4,天使之戒4
RingOfAgony5,天使之戒5
BraceletOfAgony,天体之镯
BraceletOfAgony1,天体之镯1
BraceletOfAgony2,天体之镯2
BraceletOfAgony3,天体之镯3
BraceletOfAgony4,天体之镯4
BraceletOfAgony5,天体之镯5
SparklingHelmet,闪亮的头盔
SparklingBelt,闪亮的腰带
SparklingBoots,闪光的鞋子
HelmetOfDarkness,黑暗头盔
BeltOfDarkness,黑暗腰带
BootsOfDarkness,黑暗之靴
CheongboHelmet(WAR),清波头盔(WAR)
CheongboBelt(WAR),清波腰带(WAR)
CheongboBoots(WAR),清波靴(WAR)
CheongboHelmet(WIZ),清波头盔(WIZ)
CheongboBelt(WIZ),清波腰带(WIZ)
CheongboBoots(WIZ),清波靴(WIZ)
CheongboHelmet(TAO),清波头盔(TAO)
CheongboBelt(TAO),清波腰带(TAO)
CheongboBoots(TAO),清波靴(TAO)
CheongboHelmet(ASSA),清波头盔(ASSA)
CheongboBelt(ASSA),清波腰带(ASSA)
CheongboBoots(ASSA),清波靴(ASSA)
CheongboHelmet(ARCH),清波头盔(ARCH)
CheongboBelt(ARCH),清波腰带(ARCH)
CheongboBoots(ARCH),清波靴(ARCH)
WoodenSword,木剑
Dagger,匕首
EbonySword,乌木剑
BronzeSword,青铜剑
ShortSword,短剑
IronSword,铁剑
BronzeAxe,青铜斧
SteelAxe,钢斧
SteelSword,钢剑
PrinceDagger,王子匕首
FireBloodSword,火血剑
HellYamaBlade,地狱山刀
HellYamaBlade1,地狱山刀1
HellYamaBlade2,地狱山刀2
HellYamaBlade3,地狱山刀3
HellYamaBlade4,地狱山刀4
HellYamaBlade5,地狱山刀5
HookedSword,钩状剑
MartialSword,武术剑
PowerAxe,力量斧
PurifierSword,净化者之剑
GreatAxe,大斧头
ZumaJudgementMace,裁决
JudgementMace,判决书
DragonSword,龙剑
BlackDragonSlayer,屠龙刀
WarSpiritBlade,战魂之刃
DragonSlayer,屠龙者
SwordOfWarGod,战神之剑
BurstSword,爆裂之剑
FrozenSabre,冰封之剑
BlackTigerHammer,黑虎之锤
BarbarianSword,野蛮人之剑
Trident,三叉戟
HookedSpear,钩镰枪
MageStaff,法师之杖
BloodStealerSword,血手剑
ZumaWarMageStaff,祖玛战争法师杖
WarMageStaff,战争法师杖
BlackDragonStaff,黑龙杖
MagicScythe,魔法镰刀
DragonStaff,龙杖
BladeOfSorcery,巫术之刃
HolyBloodSpear,圣血之矛
ConquerorSpear,征服者之矛
StaffOfLotus,洛托斯之杖
RawSword,生死剑
Scimitar,弯刀
KrissSword,克利斯之剑
SerpentSword,蛇形剑
ZumaSoulSpringWand,祖玛灵魂之杖
SoulSpringWand,灵魂之泉魔杖
BlackDragonSoulSabre,黑龙魂之剑
StoneBambooFan,石竹扇
SoulSabre,灵魂之剑
HeavenSword,创天之剑
DragonBloodSword,龙血剑
BastardSword,混蛋之剑
FanOfCrane,鹤鸣扇
BoneCarvedFan,骨刻扇
HoaSword,剑侠情缘
ToughHoaSword,坚韧的华剑
SharpHoaSword,锋利的华剑
BladesOfVelocity,速度的刀刃
IronBlades,铁刀
DoubleBlades,双刃剑
ZumaBlades,祖玛刀
BladesOfDarkness,黑暗之刃
Dragon'sRoyalBlades,龙王刀
FreezingBlades,冷冻刀
RoyalBlades,皇家刀片
BladesOfMagi,玛吉之刃
Stiletto,小刀
ZincBlades,锌刀
ButcheringBlades,屠宰刀
TheRipper,撕裂者
MadDragonBlades,狂龙之刃
WoodenBow,木弓
EbonyBow,乌木弓
ShortBow,短弓
BoneBow,骨弓
CompoundBow,复合弓
LongBow,长弓
SilverBow,银弓
ZumaFiendBow,祖玛火神弓
FiendBow,恶魔之弓
CursedMaleficBow,诅咒恶灵弓
LitheBow,火焰弓
MaleficBow,邪恶之弓
BowOfForce,力量之弓
DreadBow,恐惧之弓
GrimBow,狰狞之弓
LethalBow,致命之弓
ApusBow,阿普斯弓
DeathBow,死亡之弓
BloodThirstyBow,嗜血弓
布衣(男),布衣(男)
布衣(女),布衣(女)
LightArmour(M),轻甲(男)
LightArmour(F),轻型护甲(女)
MediumArmour(M),中型装甲(男)
MediumArmour(F),中型护甲(女)
HeavyArmour(M),重装甲(男)
HeavyArmour(F),重装甲(女)
MagicRobe(M),魔法之袍(男)
MagicRobe(F),魔法之袍(女)
SoulArmour(M),灵魂盔甲(男)
SoulArmour(F),灵魂护甲(女)
RelicArmour(M),遗迹盔甲(男)
RelicArmour(F),遗迹盔甲(女)
LightLeatherArmour(M),轻质皮甲(男)
LightLeatherArmour(F),轻质皮甲(女)
IronArmour(M),铁甲(中)
IronArmour(F),铁甲(女)
WizardRobe(M),巫师之袍(男)
WitchRobe(F),巫师袍(女)
PearlArmour(M),珍珠盔甲(男)
PearlArmour(F),珍珠盔甲(女)
AncientArmour(M),古代盔甲(男)
AncientArmour(F),古代盔甲(女)
TemperedArmour(M),钢化盔甲(男)
TemperedArmour(F),钢化盔甲(女)
SteelArmour(M),钢制盔甲(男)
SteelArmour(F),钢制盔甲(女)
DragonRobe(M),龙袍(男)
DragonRobe(F),龙袍(女)
TitanArmour(M),钛合金盔甲(男)
TitanArmour(F),泰坦巨人盔甲(女)
RoyalArmour(M),皇家盔甲(男)
RoyalArmour(F),皇家盔甲(女)
StuddedArmour(M),铆钉盔甲(男)
StuddedArmour(F),铆钉盔甲(女)
BlackTigerArmour(M),黑虎盔甲(男)
BlackTigerArmour(F),黑虎盔甲(女)
LotusArmour(M),莲花盔甲(中)
LotusArmour(F),莲花盔甲(女)
CraneArmour(M),仙鹤盔甲(中)
CraneArmour(F),仙鹤盔甲(女)
StealthArmour(M),隐形盔甲(男)
StealthArmour(F),隐形盔甲(女)
LightTemperedArmour(M),轻钢盔甲(男)
LightTemperedArmour(F),轻质护甲(女)
BlueDarkArmour(M),蓝色暗色护甲(中)
BlueDarkArmour(F),蓝色深色护甲(女)
RedDarkArmour(M),红色黑暗盔甲(中)
RedDarkArmour(F),红色深色护甲(女)
GreenDarkArmour(M),绿色深色护甲(男)
GreenDarkArmour(F),绿色深色护甲(女)
GoldDarkArmour(M),金色深色护甲(中)
GoldDarkArmour(F),金色深色护甲(女)
ScaledArmour(M),鳞甲(男)
ScaledArmour(F),鳞甲(女)
CrystalArmour(M),水晶盔甲(中)
CrystalArmour(F),水晶盔甲(女)
HeavenArmour(M),天堂盔甲(男)
HeavenArmour(M)1,天堂盔甲(男)1
HeavenArmour(M)2,天堂盔甲(男)2
HeavenArmour(M)3,天堂之光(男)3
HeavenArmour(F),天堂盔甲(女)
HeavenArmour(F)1,天堂之铠(女)1
HeavenArmour(F)2,天堂之铠(女)2
HeavenArmour(F)3,天堂之铠(女)3
OmaKingRobe(M),大马王袍(男)
OmaKingRobe(M)1,奥马王袍(男)1
OmaKingRobe(M)2,奥马王袍(男)2
OmaKingRobe(M)3,奥马王袍(男)3
OmaKingRobe(M)4,奥马王袍(男)4
OmaKingRobe(M)5,奥马王袍(男)5
OmaKingRobe(F),奥马王袍(女)
OmaKingRobe(F)1,奥马王袍(女)1
OmaKingRobe(F)2,奥马王袍(女)2
OmaKingRobe(F)3,奥马王袍(女)3
OmaKingRobe(F)4,奥马王袍(女)4
OmaKingRobe(F)5,奥马王袍(女)5
ParalysisRing,麻痹戒指
TeleportRing,传送戒指
ClearRing,隐身戒指
ProtectionRing,护身戒指
RevivalRing,复活戒指
MuscleRing,力量戒指
FlameRing,火焰之环
RecoveryRing,治疗戒指
HardenedRing,记忆戒指
CopperRing,铜戒指
HexagonalRing,六角戒指
GlassRing,玻璃戒指
HornRing,喇叭戒指
IronRing,铁戒指
WhiteJadeRing,白玉戒指
BlueRing,蓝戒指
GaleRing,大风戒指
SkeletonRing,骷髅戒指
BlackRing,黑戒指
SerpentEyeRing,蛇眼戒指
PearlRing,珍珠戒指
GoldRing,金戒指
CharmRing,魅力戒指
MoralRing,道德戒指
ExpelRing,驱逐戒指
CoralRing,珊瑚戒指
RubyRing,红宝石戒指
